dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5515671666834457,0.635359488573442,0.6542544917614685,0.592802516862982,0.6290038927480788,0.6024609617772408,0.5063492063492063,0.5063492063492063,0.5287572871572872,0.5799924091412464,0.6060360683244406,0.5831335682405451
page-blocks0,0.7960124035068017,0.8421537125972559,0.8654240162176248,0.8861499345753303,0.8904952256408813,0.9029986915099382,0.5001017293997966,0.5001017293997966,0.5007124165808562,0.8068992088180433,0.8084823450372822,0.8545807595067494
wisconsin,0.9665733959243402,0.971523174610074,0.9756898412767407,0.9694841675178753,0.970280047667688,0.9662329124377893,0.7962078651685394,0.7962078651685394,0.7883554647599592,0.9539719753113249,0.935973529220003,0.9583234176573286
yeast1,0.6041376158090261,0.6721297190759916,0.650758229005258,0.6439109575275057,0.6348193411609104,0.6355808118463963,0.5018957345971564,0.5014218009478674,0.5135154725397267,0.5822397417029194,0.6228319318469149,0.6135404334774801
