dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5,0.6058816805933084,0.5973526225712271,0.5955449243263197,0.6462879157018693,0.5860922178596597,0.5286267995570321,0.5286267995570321,0.5023809523809524,0.6007280445652539,0.5714048726467331,0.5551611731937314
page-blocks0,0.6951076238770504,0.7930877071279571,0.8255133128829527,0.8513152179781984,0.8777009255040313,0.9066247713320378,0.49910714285714286,0.49910714285714286,0.5004070211932797,0.8353044398653899,0.841907926177681,0.8254981495308396
wisconsin,0.969767556632546,0.9728106277935946,0.9791177221654749,0.9663967701156919,0.9662201443070437,0.9692887517295835,0.795097037793667,0.795097037793667,0.7941500680966972,0.9380253044429473,0.9526972902585502,0.9543521667789537
yeast1,0.5460887183044716,0.6283186052994989,0.6587262141713294,0.6022821428802977,0.607915534779987,0.6225214437147061,0.5026286784966384,0.5026286784966384,0.506436874760926,0.5621275795670412,0.5608731789861321,0.5878556933629839
haberman,0.5,0.5231290849673202,0.5707189542483659,0.5000081699346406,0.48352941176470593,0.5658578431372548,0.5,0.5,0.5,0.4839869281045751,0.5022794117647058,0.5392401960784314
