dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5260981912144703,0.621084855196483,0.6327813080975873,0.5686451894358872,0.5862222759152992,0.632794825329709,0.49381690660760424,0.49381690660760424,0.4898727272727273,0.5818206047182791,0.5468584986073358,0.5841939326823048
page-blocks0,0.7308489997800953,0.8104532420479515,0.8007603084835848,0.8353335813371932,0.8778793876455009,0.8911930522869309,0.5004070211932797,0.5004070211932797,0.5003052917934832,0.7916053944601626,0.8283771350659336,0.8251397729807038
wisconsin,0.9707843888321417,0.9736636023152876,0.9675331337520555,0.9685371978209056,0.9715802689819544,0.9675203656213099,0.8008788729996595,0.8008788729996595,0.8018769152196118,0.9423692760741531,0.9452793685117973,0.9580762049131042
yeast1,0.5105578283335819,0.6292961015553582,0.6539665199266084,0.6013819931146711,0.6113111948184984,0.6232969184587756,0.5055330943134446,0.505229997212155,0.5054722803923729,0.5615117251573836,0.5723901556654847,0.5901396515842091
