dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5,0.6226386523037687,0.610321198697943,0.5768430886942515,0.5656669418436862,0.6149848518406658,0.5135746031746031,0.5135746031746031,0.5,0.5712441961139636,0.5689478438873788,0.5546810631229235
page-blocks0,0.6581837268132987,0.7491935409644016,0.7520471853443471,0.8339609795807883,0.8514272151259024,0.8586775972047844,0.5002035623936866,0.5002035623936866,0.4985116373438185,0.8029692817867629,0.8028109236490438,0.8315322588900604
wisconsin,0.9739469914299583,0.9736192760741529,0.9737831337520555,0.9686567292576737,0.971744126659857,0.9713593169321714,0.8021918624446714,0.8021918624446714,0.769279877425945,0.9444398412767405,0.9506898412767406,0.9514857214265533
