dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5446533440719488,0.6131035135407228,0.6757621530923856,0.5761454209872815,0.6267535890466123,0.6551103795429377,0.5,0.5,0.5,0.6042500889291587,0.5910048659350985,0.598146521695359
page-blocks0,0.8063659483224239,0.860099214599847,0.8737612861098445,0.8820237743824798,0.9095297402523299,0.8999735065938814,0.5001017293997966,0.5001017293997966,0.500305291793483,0.8207049447535366,0.836622269344691,0.8697377862303803
wisconsin,0.9625705869355763,0.971744126659857,0.9769900625910068,0.9645343888321417,0.9628936840313245,0.9694841675178754,0.7917390194075588,0.7917390194075588,0.8007533197139939,0.941251023261542,0.9451343008135382,0.9467306793732208
yeast1,0.5322936184283038,0.6736568097976543,0.6729508366776666,0.6198659889393872,0.6374434813052301,0.6197097399524122,0.5028876887468312,0.5028876887468312,0.5016808111980602,0.6089590316452823,0.6107574510020033,0.5828516412626993
haberman,0.5,0.49307189542483665,0.4830800653594771,0.5285702614379085,0.5679411764705883,0.5348366013071896,0.5,0.5,0.5,0.5424101307189544,0.5187173202614379,0.5363643790849674
