dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5,0.6239622739018088,0.6263236887143864,0.5639640524849827,0.5925554078995938,0.5847130373502466,0.5247783549783549,0.5247783549783549,0.5018037518037518,0.5538214772307796,0.572905285412262,0.5744326051209773
page-blocks0,0.5,0.730582824656336,0.7238975304084062,0.7960235102735382,0.7885226392098695,0.8289808018972658,0.5,0.5,0.5002036659877801,0.7776162194169671,0.7758001599780787,0.7950337212073515
wisconsin,0.9665733959243402,0.9727038644875723,0.9779498004187221,0.9747428715797708,0.9734997446373852,0.9768705311542389,0.5,0.5,0.5,0.9559357772078906,0.953556286629141,0.9515924847325756
yeast1,0.5,0.6299633041798225,0.6051196504172043,0.5811740717448668,0.5667146867564397,0.5952609228415272,0.5,0.5,0.5,0.5401375769088634,0.5243565588916047,0.5877139022698245
