dataset,svm,svm_ae_smote,svm_smote_ae,knn,knn_ae_smote,knn_smote_ae,c45,c45_ae_smote,c45_smote_ae,cart,cart_ae_smote,cart_smote_ae
vehicle1,0.5355548843920938,0.6756253699788584,0.6507302526930434,0.6160951105741803,0.6497404409543945,0.6560726601563812,0.5049808718413369,0.5049808718413369,0.5,0.6011219906708278,0.5834538810027181,0.5640911574213899
page-blocks0,0.7925050691643098,0.8512327797451634,0.8835743611575577,0.8724183535118228,0.9027383149722337,0.9074696337946928,0.50010183299389,0.50010183299389,0.500305291793483,0.856445297798234,0.8159913742858038,0.839420229916171
wisconsin,0.9747871978209057,0.9765428157984337,0.9736636023152876,0.9641811372148451,0.9723378447395301,0.9638534218590398,0.7917390194075588,0.7917390194075588,0.795097037793667,0.9464210748411679,0.9557275932888531,0.953745680568535
yeast1,0.6028927457679865,0.671454541918167,0.6770835899663513,0.6293978903145079,0.6349100433736815,0.6554809032617787,0.5042654028436019,0.5042654028436019,0.5004739336492892,0.5969982041091538,0.5697724988816203,0.5988894003539914
haberman,0.5,0.5890686274509803,0.5987254901960785,0.505187908496732,0.5521405228758169,0.57234477124183,0.4892728758169934,0.5087499999999999,0.5095833333333333,0.5541258169934641,0.5730964052287582,0.5302124183006536
